lane,path,status,programs,checked_arith,widening_arith,compare,failed,checked_targets
bas,conformance/tests/params_named_bind.bas,ok,1,0,0,0,0,
bas,conformance/tests/params_named_optional_omit.bas,ok,1,0,0,0,0,
bas,conformance/tests/params_named_positional_after_named_error.bas,bind: unsupported construct: positional argument cannot follow named argument,0,0,0,0,1,
bas,conformance/tests/params_optional_default.bas,ok,1,0,0,0,0,
bas,conformance/tests/params_optional_override.bas,ok,1,0,0,0,0,
bas,conformance/tests/params_paramarray_dispatch_boundary.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/tests/params_paramarray_empty.bas,ok,1,0,0,0,0,
bas,conformance/tests/params_paramarray_named_error.bas,bind: unsupported construct: named argument to a ParamArray parameter,0,0,0,0,1,
bas,conformance/tests/params_paramarray_pack.bas,ok,1,0,0,0,0,
bas,conformance/tests/proc_call_chain.bas,ok,1,0,1,0,0,
bas,conformance/tests/proc_call_local_scope.bas,ok,1,0,1,0,0,
bas,conformance/tests/project_model_implements_requires_class_graph.bas,bind: symbol model error: Implements is only valid in object modules: `IFoo`,0,0,0,0,1,
bas,conformance/tests/project_model_raiseevent_requires_class_graph.bas,bind: malformed construct: RaiseEvent outside a class module,0,0,0,0,1,
bas,conformance/tests/project_model_withevents_requires_class_graph.bas,ok,1,0,0,0,0,
bas,conformance/tests/property_get_declaration_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/property_get_expression_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/property_let_byref_route.bas,ok,1,0,1,0,0,
bas,conformance/tests/property_set_byref_route.bas,bind: invalid assignment: property `Obj` has no Property Let accessor,0,0,0,0,1,
bas,conformance/tests/redim_expand_allows_new_index.bas,ok,1,0,0,0,0,
bas,conformance/tests/redim_preserve_illegal_non_last_dim_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/redim_preserve_keeps_values.bas,ok,1,0,0,0,0,
bas,conformance/tests/redim_preserve_multidim_last_dimension.bas,ok,1,0,0,0,0,
bas,conformance/tests/redim_preserve_shrink_expand_clears_tail.bas,ok,1,0,0,0,0,
bas,conformance/tests/redim_shrink_bounds_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/redim_without_preserve_resets.bas,ok,1,0,0,0,0,
bas,conformance/tests/regression_cverr_error_resume_bridge.bas,ok,1,1,0,0,0,Long:1
bas,conformance/tests/regression_cverr_predicate_domain.bas,ok,1,0,0,0,0,
bas,conformance/tests/resume_label_basic.bas,ok,1,0,1,0,0,
bas,conformance/tests/resume_next_statement_ok.bas,ok,1,0,0,0,0,
bas,conformance/tests/resume_statement_basic.bas,ok,1,0,2,2,0,
bas,conformance/tests/select_case_basic.bas,ok,1,0,0,2,0,
bas,conformance/tests/select_case_else.bas,ok,1,0,0,2,0,
bas,conformance/tests/select_case_is_range.bas,ok,1,0,0,4,0,
bas,conformance/tests/select_case_multi.bas,ok,1,0,0,2,0,
bas,conformance/tests/smoke.bas,ok,1,0,1,0,0,
bas,conformance/tests/stdlib_advanced_instrrev_like.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_advanced_replace_trim.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_advanced_split_join.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_advanced_strcomp.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_array_introspection_bounds.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_array_introspection_types.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_date_add_diff.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_date_serial_value.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_date_string_policy.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_datetime_expansion.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_error_cverr_identity.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_error_err_raise_fail.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_error_err_raise_resume.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_file_stub_intrinsics.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_financial_zero_rate.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_format_core.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_host_sensitive_mix.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_host_sensitive_shell_environ_dir.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_host_sensitive_zero_fallback.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_instr_case_ops.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_introspection_expansion.bas,bind: Sub or Function not defined,0,0,0,0,1,
bas,conformance/tests/stdlib_len_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_math_primitives.bas,ok,1,3,0,0,0,Integer:3
bas,conformance/tests/stdlib_math_transcendental_identity.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_numeric_expansion.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_random_financial_expansion.bas,bind: Wrong number of arguments or invalid property assignment,0,0,0,0,1,
bas,conformance/tests/stdlib_rnd_isolated.bas,ok,1,1,2,0,0,Integer:1
bas,conformance/tests/stdlib_slice_ops.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_string_expansion_core.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_time_serial_value.bas,ok,1,0,0,0,0,
bas,conformance/tests/stdlib_variant_predicates.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_compare_option_binary.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_compare_option_text.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_join_array_tag_count.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_mid_statement_mutation.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_slice_ops_dollar.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_vbnullstring_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_vbnullstring_long_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_vbnullstring_object_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/string_vbnullstring_predicates.bas,ok,1,0,0,0,0,
bas,conformance/tests/subtract.bas,ok,1,0,1,0,0,
bas,conformance/tests/typechar_explicit_as_precedence_error.bas,ok,1,0,0,0,0,
bas,conformance/tests/typed_fastpath_hotloop.bas,ok,1,2,0,3,0,Long:2
bas,conformance/tests/typeof_is_condition_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/udt_declaration_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/udt_field_access_basic.bas,ok,1,0,0,0,0,
bas,conformance/tests/udt_whole_assignment_copy.bas,ok,1,0,0,0,0,
bas,conformance/tests/udt_whole_assignment_overwrite.bas,ok,1,0,0,0,0,
bas,conformance/tests/while_nested_if_chain.bas,ok,1,0,4,3,0,
bas,conformance/tests/while_wend_basic.bas,ok,1,0,1,1,0,
bas,conformance/tests/with_block_basic.bas,ok,1,0,1,0,0,
bas,conformance/tests/with_block_member_target_chain.bas,ok,1,0,1,0,0,
bas,conformance/vm_package/identity_seed/vmr01_identity_main_scalar.bas,ok,1,1,0,0,0,Long:1
bas,conformance/vm_package/identity_seed/vmr01_identity_typed_function.bas,ok,1,0,0,0,0,
bas,conformance/vm_package/identity_seed/vmr02_descriptor_primitive_string_variant.bas,ok,1,0,0,0,0,
bas,conformance/vm_package/identity_seed/vmr02_descriptor_udt_field_slots.bas,ok,1,2,0,0,0,Long:2
bas,conformance/vm_package/identity_seed/vmr03_signature_call_binding.bas,ok,1,3,0,0,0,Long:3
bas,conformance/vm_package/identity_seed/vmr04_byref_expression_forms.bas,ok,1,2,0,0,0,Long:2
bas,conformance/vm_package/identity_seed/vmr04_call_argument_binding.bas,ok,1,2,1,0,0,Long:2
bas,conformance/vm_package/identity_seed/vmr04_call_diagnostic_descriptor_baseline.bas,bind: unsupported construct: positional argument cannot follow named argument,0,0,0,0,1,
bas,conformance/vm_package/identity_seed/vmr04_diag_duplicate_mapping.bas,bind: unsupported construct: duplicate argument for parameter target,0,0,0,0,1,
bas,conformance/vm_package/identity_seed/vmr04_diag_missing_required.bas,bind: Argument not optional: target,0,0,0,0,1,
bas,conformance/vm_package/identity_seed/vmr04_diag_named_paramarray.bas,bind: unsupported construct: named argument to a ParamArray parameter,0,0,0,0,1,
bas,conformance/vm_package/identity_seed/vmr04_diag_positional_after_named.bas,bind: unsupported construct: positional argument cannot follow named argument,0,0,0,0,1,
